title,doi,url,authors,keywords
Données archéométriques de l’agrafe TSW15 (murs gouttereaux),doi:10.57745/W8RXFA,https://doi.org/10.57745/W8RXFA,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 212J19 (fenêtres hautes),doi:10.57745/YIK5ED,https://doi.org/10.57745/YIK5ED,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 237J19 (fenêtres hautes),doi:10.57745/OOWVYM,https://doi.org/10.57745/OOWVYM,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 211J19 (fenêtres hautes),doi:10.57745/2KISDK,https://doi.org/10.57745/2KISDK,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 208J20p (fenêtres hautes),doi:10.57745/ELSLEW,https://doi.org/10.57745/ELSLEW,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TRIB03 (tribunes),doi:10.57745/VGJLIL,https://doi.org/10.57745/VGJLIL,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TRIB158 (tribunes),doi:10.57745/5KSQUQ,https://doi.org/10.57745/5KSQUQ,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TRIB09 (tribunes),doi:10.57745/FWE0IO,https://doi.org/10.57745/FWE0IO,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TRIB151 (tribunes),doi:10.57745/F025QF,https://doi.org/10.57745/F025QF,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Analyses élémentaires et documentation photographique de scories de réduction du minerai de fer pour l’étude de provenance des armatures en fer,doi:10.57745/Q1QS64,https://doi.org/10.57745/Q1QS64,Mathilde Bernard,Paris (France) -- Cathédrale Notre-Dame; Archéométrie; Métallurgie préhistorique; Archéologie médiévale; Architecture gothique; Sidérurgie; Métal
Datation au radiocarbone du vestige du tirant en bois PE15E (piles du chœur),doi:10.57745/SRPF9I,https://doi.org/10.57745/SRPF9I,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe GUA01 (chapelle Notre-Dame de Guadalupe),doi:10.57745/7LQIGA,https://doi.org/10.57745/7LQIGA,BERNARD Mathilde; L'HERITIER Maxime,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 203J19 (fenêtres hautes),doi:10.57745/YUVQUU,https://doi.org/10.57745/YUVQUU,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 201J19 (fenêtres hautes),doi:10.57745/MPUZAX,https://doi.org/10.57745/MPUZAX,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 206J19 (fenêtres hautes),doi:10.57745/4UQ7NL,https://doi.org/10.57745/4UQ7NL,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 204J20 (fenêtres hautes),doi:10.57745/F9X10O,https://doi.org/10.57745/F9X10O,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
