title,doi,url,authors,keywords,parenthesized_terms
agrafe GUA01,doi:10.57745/7LQIGA,https://doi.org/10.57745/7LQIGA,BERNARD Mathilde; L'HERITIER Maxime,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,chapelle Notre-Dame de Guadalupe
goujon PE03W,doi:10.57745/KF8NKP,https://doi.org/10.57745/KF8NKP,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,piles du chœur
barlotière-tirant 203J19,doi:10.57745/YUVQUU,https://doi.org/10.57745/YUVQUU,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
barlotière-tirant 204J20,doi:10.57745/F9X10O,https://doi.org/10.57745/F9X10O,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
barlotière-tirant 201J19,doi:10.57745/MPUZAX,https://doi.org/10.57745/MPUZAX,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
barlotière-tirant 207J19,doi:10.57745/GMDK3I,https://doi.org/10.57745/GMDK3I,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
barlotière-tirant 206J19,doi:10.57745/4UQ7NL,https://doi.org/10.57745/4UQ7NL,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
barlotière-tirant 205J19,doi:10.57745/L6DB3B,https://doi.org/10.57745/L6DB3B,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
barlotière-tirant 209J19,doi:10.57745/BLMZTE,https://doi.org/10.57745/BLMZTE,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
barlotière-tirant 235J19,doi:10.57745/AB4QYF,https://doi.org/10.57745/AB4QYF,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
barlotière-tirant 210J19,doi:10.57745/V6EBIM,https://doi.org/10.57745/V6EBIM,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
barlotière-tirant 236J19,doi:10.57745/4SXRQI,https://doi.org/10.57745/4SXRQI,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,fenêtres hautes
agrafe TRIB03,doi:10.57745/VGJLIL,https://doi.org/10.57745/VGJLIL,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,tribunes
agrafe TRIB09,doi:10.57745/FWE0IO,https://doi.org/10.57745/FWE0IO,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,tribunes
agrafe TRIB151,doi:10.57745/F025QF,https://doi.org/10.57745/F025QF,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,tribunes
agrafe TRIB158,doi:10.57745/5KSQUQ,https://doi.org/10.57745/5KSQUQ,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux,tribunes
Analyses élémentaires et documentation photographique de scories de réduction minerai de fer pour l’étude de provenance des armatures en fer,doi:10.57745/Q1QS64,https://doi.org/10.57745/Q1QS64,Mathilde Bernard,Paris (France) -- Cathédrale Notre-Dame; Archéométrie; Métallurgie préhistorique; Archéologie médiévale; Architecture gothique; Sidérurgie; Métal,
